name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model,km_driven_bin
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,8,Chevrolet,Sail 1.2 Base,Low
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,9,Tata,Indigo Grand Petrol,Medium
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,5,Toyota,Corolla Altis 1.8 VL CVT,Low
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,8,Maruti,Ciaz VXi Plus,Low
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,4,Hyundai,Venue SX Opt Diesel,Low
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,10,Chevrolet,Enjoy TCDi LTZ 7 Seater,Low
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,9,Jaguar,XF 2.2 Litre Luxury,Low
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,10,Mercedes-Benz,New C-Class 220 CDI AT,Medium
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,5,Maruti,Vitara Brezza ZDi Plus AMT,Low
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,12,Audi,Q5 2.0 TDI,High
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,5,Honda,City V MT,Low
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,5,Tata,Tigor 1.2 Revotron XT,Low
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,10,Audi,A6 2.0 TDI  Design Edition,Low
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,11,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,Low
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,12,Skoda,Superb Ambition 2.0 TDI CR AT,High
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,7,Toyota,Corolla Altis G AT,Low
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,8,Toyota,Innova 2.5 G (Diesel) 7 Seater,Medium
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,4,Jeep,Compass 1.4 Sport Plus BSIV,Low
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,13,Mercedes-Benz,E-Class E 200 CGI Elegance,High
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,9,Hyundai,i10 Magna 1.1L,Medium
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,10,BMW,3 Series 320d Sport Line,Medium
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,14,Audi,Q7 35 TDI Quattro Premium,Medium
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,11,Hyundai,Elantra CRDi S,Low
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,9,Mahindra,Scorpio 1.99 S10,Low
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,9,Honda,City i DTEC V,Medium
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,9,Maruti,Wagon R VXI BS IV with ABS,Medium
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,11,Maruti,Wagon R VXI BS IV,Medium
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,14,Mahindra,Scorpio LX,High
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,14,Hyundai,Santro Xing GLS,Medium
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,4,Hyundai,Grand i10 1.2 Kappa Asta,Low
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,17,Maruti,Alto LXi,Medium
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,6,Maruti,Swift Dzire VDI Optional,Low
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,5,Maruti,Eeco 5 Seater AC BSIV,Low
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,5,Hyundai,i20 Sportz 1.4 CRDi,Low
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,5,Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,Low
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,7,Maruti,Swift ZDi BSIV,Low
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,9,Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi,Medium
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,11,Maruti,Alto LXi,Medium
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,27,Mahindra,Jeep CL 500 MDI,Low
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,9,Honda,City i DTEC VX,Medium
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,10,Maruti,Wagon R VXI BS IV,Medium
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,18,Tata,Indica DLS,Medium
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,9,Hyundai,EON Magna Plus,Medium
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,9,Toyota,Etios GD,Medium
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,14,Maruti,Alto LXi,Medium
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,14,Maruti,Alto LXi,Medium
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,13,Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII,High
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,12,Toyota,Corolla Altis Diesel D4DG,High
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,6,Mahindra,Scorpio 1.99 S6 Plus,Medium
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,5,Hyundai,EON Magna Plus,Low
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,16,Tata,Indigo Classic Dicor,Low
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,14,Toyota,Innova 2.5 V Diesel 8-seater,High
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,9,Tata,Indica Vista Quadrajet LS,High
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,17,Maruti,Swift 1.3 VXi,High
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,6,Ford,EcoSport 1.5 Diesel Titanium BSIV,Low
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,5,Maruti,Ciaz 1.3 Delta,Medium
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,16,Honda,Civic 1.8 V AT,Medium
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,13,Hyundai,i10 Sportz 1.2,Medium
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,9,Skoda,Rapid 1.5 TDI Elegance,High
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,18,Hyundai,Getz GLS,High
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,9,Nissan,Terrano XL,Medium
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,8,Hyundai,Grand i10 CRDi Sportz,Medium
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,4,Hyundai,Elite i20 Diesel Era,Low
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,7,Honda,Amaze S i-VTEC,Low
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,8,Honda,Brio S MT,Low
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,6,Hyundai,Creta 1.6 SX Option,Low
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,6,Mercedes-Benz,S-Class S 350d Connoisseurs Edition,Low
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,8,Mahindra,XUV500 W8 2WD,Medium
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,10,Renault,Duster 85PS Diesel RxL Optional,High
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,16,Hyundai,Santro Xing XO,Medium
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,10,Mahindra,Bolero 2011-2019 SLE,Medium
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,9,Audi,A6 2.0 TDI Premium Plus,Low
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,8,Fiat,Avventura MULTIJET Emotion,Medium
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,10,Audi,A8 4.2 TDI,Low
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,6,Datsun,RediGO 1.0 S,Low
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,10,Volkswagen,Jetta 1.4 TSI Comfortline,Low
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,10,Audi,A4 2.0 TDI 177 Bhp Premium Plus,Medium
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,14,Honda,Civic 1.8 V AT,Medium
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,5,Mercedes-Benz,E-Class Exclusive E 200 BSIV,Low
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,6,BMW,X1 sDrive 20d xLine,Low
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,5,Volvo,V40 D3 R Design,Low
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,15,Maruti,SX4 Zxi BSIII,Low
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,11,BMW,7 Series 730Ld,Low
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,6,Mahindra,Bolero Power Plus SLX,High
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,13,Hyundai,Sonata CRDi M/T,Medium
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,6,Nissan,Micra Active XV Petrol,Low
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,5,Mahindra,Xylo D4,Medium
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,4,Hyundai,Elite i20 Sportz Plus Dual Tone BSIV,Low
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,6,Renault,KWID RXT,Low
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,11,Mahindra,Xylo E4 BS III,Medium
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,13,Maruti,Wagon R LXI Minor,Medium
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,12,Maruti,SX4 ZXI MT BSIV,High
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,6,Renault,KWID RXT,Low
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,7,Hyundai,Creta 1.4 CRDi S,Medium
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,9,Maruti,Swift Dzire VDI,Medium
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,7,Hyundai,Verna 1.6 VTVT AT S Option,Medium
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,9,Mahindra,Scorpio LX BSIV,Medium
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,16,Maruti,SX4 Vxi BSIII,Medium
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,9,Maruti,Ertiga VDI,High
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,10,Chevrolet,Beat Diesel,Medium
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,19,Maruti,Zen LX,Low
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,5,Maruti,Baleno Delta 1.2,Low
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,16,Maruti,Swift Vdi BSIII,High
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,11,Tata,Nano Lx BSIV,Low
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,11,Toyota,Innova 2.5 GX (Diesel) 8 Seater,Medium
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,7,Maruti,Ertiga SHVS VDI,Medium
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,7,Hyundai,Creta 1.6 CRDi SX,Medium
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,7,Honda,Amaze S i-Vtech,Low
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,13,Tata,Indica Vista Aqua 1.4 TDI,Medium
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,11,Chevrolet,Tavera Neo 2 LS B4 7 Str BSIII,High
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,8,Chevrolet,Cruze LTZ,Low
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,8,Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,Low
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,6,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,Low
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,8,Hyundai,i10 Sportz 1.1L,Low
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,25,Maruti,800 Std,Low
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,11,Chevrolet,Spark 1.0 LS,Medium
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,8,Hyundai,EON Era Plus,Medium
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,12,Tata,Indica Vista Aqua TDI BSIII,Medium
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,20,Hyundai,Santro LP zipPlus,Medium
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,7,Tata,Bolt Quadrajet XE,High
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,18,Maruti,800 AC BSIII,Low
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,10,Hyundai,EON Era Plus,Low
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,8,Hyundai,i20 Magna 1.2,Low
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,5,Hyundai,i20 1.2 Asta,Low
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,8,Maruti,Ciaz VDi Plus,Medium
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,7,Hyundai,i20 Asta 1.4 CRDi,Medium
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,21,Hyundai,Santro LE,Medium
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,5,Maruti,Vitara Brezza VDi,Low
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,16,Hyundai,Santro Xing XL eRLX Euro III,High
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,15,Hyundai,Getz 1.3 GLS,Medium
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,11,Mahindra,Quanto C8,High
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,8,Chevrolet,Tavera Neo 3 LS 7 C BSIII,High
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,11,Hyundai,EON Magna Plus,Medium
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,7,Renault,KWID RXT,Low
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,9,Maruti,Wagon R DUO LPG,Medium
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,3,Maruti,Wagon R LXI,High
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,8,Chevrolet,Enjoy 1.3 TCDi LS 8,High
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,12,Chevrolet,Spark 1.0 LS,Medium
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,9,Honda,City i VTEC SV,Low
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,10,Honda,Amaze VX i-DTEC,Low
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,13,Jaguar,XJ 5.0 L V8 Supercharged,Low
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,10,Honda,Brio E MT,Medium
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,6,Maruti,Swift VVT ZXI,Medium
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,12,Tata,Indigo CR4,High
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,12,Hyundai,i10 Asta AT,Low
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,7,Chevrolet,Beat LT,Low
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,8,Maruti,Swift VDI BSIV,Medium
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,11,Maruti,Alto LXi,Medium
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,12,Chevrolet,Beat LT,Medium
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,10,Renault,Duster 110PS Diesel RxZ,Medium
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,17,Hyundai,Santro Xing XG,High
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,4,Maruti,Swift Dzire ZXI Plus,Low
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,16,Maruti,800 AC,Medium
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,3,Maruti,Alto K10 LXI CNG,Low
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,19,Maruti,800 Std BSII,Medium
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,10,Tata,Nano LX SE,Low
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,7,Hyundai,i20 Magna 1.2,Low
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,8,Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel,Low
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,5,Maruti,Alto K10 VXI,Low
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,5,Maruti,Ciaz 1.4 Delta,Medium
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,14,Maruti,Alto LX,Medium
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,14,Hyundai,i20 Asta,High
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,5,Tata,Nexon 1.2 Revotron XM,Low
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,4,Mahindra,Bolero Power Plus SLX,Low
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,20,Maruti,Zen D,Medium
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,7,Volkswagen,Vento Celeste 1.5 TDI Highline AT,Medium
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,6,Maruti,Eeco 7 Seater Standard BSIV,Low
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,18,Honda,City 1.5 EXI,High
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,10,Mercedes-Benz,New C-Class 220 CDI AT,Low
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,16,Maruti,SX4 Zxi with Leather BSIII,Medium
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,11,Renault,Duster 110PS Diesel RxZ,High
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,13,Ford,Figo Diesel Titanium,Medium
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,12,Ford,Figo Diesel Titanium,Medium
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,14,Maruti,Swift Dzire VDi,High
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner,14,Mahindra,Xylo E4,High
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,17,Maruti,Esteem Vxi - BSIII,Medium
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,6,Maruti,Swift VDI BSIV,Medium
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,11,Hyundai,i20 1.2 Sportz,High
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,11,Chevrolet,Beat Diesel LT,Medium
